Data;IPA-EP-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPADI12;
1980.09;1,031223E-09;
1980.10;1,127818E-09;
1980.11;1,223812E-09;
1980.12;1,286468E-09;
1981.01;1,365191E-09;
1981.02;1,476647E-09;
1981.03;1,593325E-09;
1981.04;1,678474E-09;
1981.05;1,795151E-09;
1981.06;1,874677E-09;
1981.07;1,959424E-09;
1981.08;2,068471E-09;
1981.09;2,171694E-09;
1981.10;2,281343E-09;
1981.11;2,416094E-09;
1981.12;2,499436E-09;
1982.01;2,656077E-09;
1982.02;2,826776E-09;
1982.03;3,028804E-09;
1982.04;3,196691E-09;
1982.05;3,372813E-09;
1982.06;3,684891E-09;
1982.07;3,893545E-09;
1982.08;4,071273E-09;
1982.09;4,208234E-09;
1982.10;4,428335E-09;
1982.11;4,661289E-09;
1982.12;4,941838E-09;
1983.01;5,427226E-09;
1983.02;5,731271E-09;
1983.03;6,347194E-09;
1983.04;7,001473E-09;
1983.05;7,461959E-09;
1983.06;8,486556E-09;
1983.07;9,712777E-09;
1983.08;1,069359E-08;
1983.09;1,223571E-08;
1983.10;1,414131E-08;
1983.11;1,536974E-08;
1983.12;1,65078E-08;
1984.01;1,819009E-08;
1984.02;2,035958E-08;
1984.03;2,241861E-08;
1984.04;2,457082E-08;
1984.05;2,67373E-08;
1984.06;2,916403E-08;
1984.07;3,229927E-08;
1984.08;3,526944E-08;
1984.09;3,921058E-08;
1984.10;4,457254E-08;
1984.11;4,919125E-08;
1984.12;5,45249E-08;
1985.01;6,157316E-08;
1985.02;6,72482E-08;
1985.03;7,638E-08;
1985.04;8,191447E-08;
1985.05;8,721658E-08;
1985.06;9,339047E-08;
1985.07;1,005009E-07;
1985.08;1,150827E-07;
1985.09;1,255104E-07;
1985.10;1,37482E-07;
1985.11;1,581964E-07;
1985.12;1,776117E-07;
1986.01;2,113268E-07;
1986.02;2,453785E-07;
1986.03;2,555899E-07;
1986.04;2,518455E-07;
1986.05;2,52073E-07;
1986.06;2,530084E-07;
1986.07;2,544781E-07;
1986.08;2,5788E-07;
1986.09;2,596027E-07;
1986.10;2,626033E-07;
1986.11;2,682007E-07;
1986.12;2,88722E-07;
1987.01;3,19035E-07;
1987.02;3,520649E-07;
1987.03;4,015343E-07;
1987.04;4,85787E-07;
1987.05;6,35003E-07;
1987.06;8,017626E-07;
1987.07;8,810517E-07;
1987.08;9,138158E-07;
1987.09;9,827816E-07;
1987.10;1,097539E-06;
1987.11;1,261898E-06;
1987.12;1,464382E-06;
1988.01;1,733633E-06;
1988.02;2,043311E-06;
1988.03;2,40138E-06;
1988.04;2,913439E-06;
1988.05;3,474745E-06;
1988.06;4,212275E-06;
1988.07;5,149488E-06;
1988.08;6,370201E-06;
1988.09;8,035952E-06;
1988.10;1,019566E-05;
1988.11;1,300822E-05;
1988.12;1,684036E-05;
1989.01;2,292332E-05;
1989.02;2,538511E-05;
1989.03;2,617437E-05;
1989.04;2,745299E-05;
1989.05;3,053234E-05;
1989.06;3,82933E-05;
1989.07;5,339496E-05;
1989.08;7,300896E-05;
1989.09;0,0001032405;
1989.10;0,0001448888;
1989.11;0,0002091073;
1989.12;0,0003113435;
1990.01;0,000537472;
1990.02;0,000935151;
1990.03;0,00170236;
1990.04;0,0018722;
1990.05;0,00205814;
1990.06;0,00220886;
1990.07;0,0024645;
1990.08;0,00278354;
1990.09;0,00309133;
1990.10;0,00354231;
1990.11;0,0041952;
1990.12;0,00482433;
1991.01;0,0058046;
1991.02;0,00705666;
1991.03;0,0075847;
1991.04;0,00827069;
1991.05;0,0087216;
1991.06;0,00948608;
1991.07;0,0106671;
1991.08;0,0123314;
1991.09;0,014202;
1991.10;0,0180845;
1991.11;0,0226988;
1991.12;0,0275791;
1992.01;0,035057;
1992.02;0,0439899;
1992.03;0,0526427;
1992.04;0,0620132;
1992.05;0,0751766;
1992.06;0,0908899;
1992.07;0,111055;
1992.08;0,141481;
1992.09;0,179917;
1992.10;0,224585;
1992.11;0,279453;
1992.12;0,345893;
1993.01;0,438212;
1993.02;0,553152;
1993.03;0,708458;
1993.04;0,909076;
1993.05;1,20049;
1993.06;1,56427;
1993.07;2,0693;
1993.08;2,75919;
1993.09;3,78708;
1993.10;5,11361;
1993.11;6,98119;
1993.12;9,47494;
1994.01;13,3864;
1994.02;19,1739;
1994.03;27,5432;
1994.04;38,6154;
1994.05;53,4712;
1994.06;77,8023;
1994.07;95,7866;
1994.08;100;
1994.09;101,789;
1994.10;104,548;
1994.11;106,824;
1994.12;107,006;
1995.01;107,941;
1995.02;108,567;
1995.03;109,741;
1995.04;111,923;
1995.05;109,652;
1995.06;111,347;
1995.07;113,846;
1995.08;115,818;
1995.09;113,011;
1995.10;112,854;
1995.11;114,54;
1995.12;113,846;
1996.01;115,334;
1996.02;115,879;
1996.03;115,798;
1996.04;116,271;
1996.05;117,825;
1996.06;118,931;
1996.07;120,568;
1996.08;120,509;
1996.09;121,003;
1996.10;121,29;
1996.11;121,584;
1996.12;123,053;
1997.01;125,104;
1997.02;125,527;
1997.03;127,519;
1997.04;128,195;
1997.05;128,369;
1997.06;128,679;
1997.07;128,56;
1997.08;128,367;
1997.09;129,549;
1997.10;130,086;
1997.11;131,488;
1997.12;132,631;
1998.01;133,632;
1998.02;133,601;
1998.03;133,601;
1998.04;133,221;
1998.05;133,398;
1998.06;133,622;
1998.07;132,813;
1998.08;132,766;
1998.09;132,85;
1998.10;132,602;
1998.11;132,334;
1998.12;134,64;
1999.01;136,77;
1999.02;146,328;
1999.03;150,491;
1999.04;149,977;
1999.05;148,748;
1999.06;150,758;
1999.07;153,821;
1999.08;157,131;
1999.09;160,744;
1999.10;164,889;
1999.11;170,81;
1999.12;173,546;
2000.01;175,315;
2000.02;175,612;
2000.03;175,517;
2000.04;175,485;
2000.05;176,704;
2000.06;179,27;
2000.07;184,267;
2000.08;188,992;
2000.09;191,047;
2000.10;192,109;
2000.11;192,832;
2000.12;194,468;
2001.01;195,246;
2001.02;195,849;
2001.03;197,834;
2001.04;200,581;
2001.05;200,943;
2001.06;204,89;
2001.07;208,836;
2001.08;211,186;
2001.09;212,197;
2001.10;216,188;
2001.11;217,758;
2001.12;217,555;
2002.01;217,269;
2002.02;217,57;
2002.03;217,334;
2002.04;218,974;
2002.05;221,75;
2002.06;227,296;
2002.07;233,7;
2002.08;241,463;
2002.09;250,731;
2002.10;265,832;
2002.11;285,638;
2002.12;294,601;
2003.01;301,102;
2003.02;306,25;
2003.03;312,159;
2003.04;312,375;
2003.05;307,132;
2003.06;303,563;
2003.07;301,764;
2003.08;303,883;
2003.09;307,798;
2003.10;309,328;
2003.11;310,739;
2003.12;313,033;
2004.01;315,395;
2004.02;319,88;
2004.03;323,361;
2004.04;328,422;
2004.05;334,023;
2004.06;339,272;
2004.07;343,845;
2004.08;349,295;
2004.09;351,572;
2004.10;353,725;
2004.11;357,258;
2004.12;358,97;
2005.01;359,24;
2005.02;360,639;
2005.03;364,748;
2005.04;365,964;
2005.05;362,36;
2005.06;359,53;
2005.07;357,056;
2005.08;353,332;
2005.09;352,351;
2005.10;355,126;
2005.11;355,994;
2005.12;355,501;
2006.01;358,367;
2006.02;357,929;
2006.03;355,012;
2006.04;354,463;
2006.05;356,085;
2006.06;359,85;
2006.07;360,449;
2006.08;362,374;
2006.09;363,378;
2006.10;367,608;
