terrai_codigo;terrai_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;data_em_estudo;tit_em_estudo;data_delimitada;tit_delimitada;data_declarada;tit_declarada;data_homologada;tit_homologada;data_regularizada;tit_regularizada
22401;Kaxinawá do Baixo Rio Jordão;Jordão                                  ;AC;8726,4952;Regularizada;Tradicionalmente ocupada;1993-11-25;Portaria nº 1204 de 25 de novembro de 1993;;;1998-12-11;PD 825 de 11.12.98;2001-04-30;Decreto de 30 de abril de 2001;2002-01-02;Matr. 948  Lv. 2-D  Fl. 205
22501;Kaxinawá do Rio Humaitá;Feijó                                   ;AC;127383,5568;Regularizada;Tradicionalmente ocupada;2009-10-07;Portaria nº 1243, de 7 de outubro de 2009;;;;;1991-10-29;Decreto nº 279, de 29 de outubro de 1991;1986-10-08;Matr. 317  Lv. 2-B  Fl. 252
22601;Kaxinawá do Rio Jordão;Jordão                                  ;AC;87293,7981;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto nº 255, de 29 de outubro de 1991;1988-07-04;Matr. 392  Lv. 2-B  Fl. 219
22701;Kaxinawá Nova Olinda;Feijó                                   ;AC;27533,3987;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto nº 294, de 29 de outubro de 1991;1990-08-01;Matr. 439  Lv. 2-C  Fl. 105V
57301;Kaxinawá Seringal Curralinho;Feijó                                   ;AC;0;Em Estudo;Tradicionalmente ocupada;2001-10-10;Portaria nº 822, de 10 de outubro de 2001;;;;;;;;
22801;Kaxinawá Seringal Independência;Jordão                                  ;AC;11584,127;Regularizada;Dominial Indígena;;;;;;;;;;
68101;Kaxuyana/Tunayana;Oriximiná, Nhamundá, Faro                               ;AM/PA;2184120;Delimitada;Tradicionalmente ocupada;2010-10-29;Portaria nº 1655, de 29 de outubro de 2010;2015-10-19;Despacho nº 72, de 19 de outubro de 2015;;;;;;
22902;Kayabi;Apiacás e Jacareacanga;MT/PA;1053257,6811;Regularizada;Tradicionalmente ocupada;1993-11-12;Portaria nº 1137, de 12 de novembro de 1993;;;2002-10-02;Portaria nº 1.149, de 2 de outubro de 2002;2013-04-24;Decreto de 24 de abril de 2013;2013-09-23;Matr. 079, Lv. 2-A/RG, Fls. 79
23001;Kayapó;Cumaru do Norte, Bannach, Ourilandia do Norte, São Felix do Xingu;PA;3284004,9719;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto nº 316, de 29 de outubro de 1991;2001-06-29;Matr. 2.473, Lv. 2-M,  Fl.160
23101;Kiriri;Ribeira do Pombal, Banzae, Quijingue, Tucano;BA;12299,8736;Regularizada;Tradicionalmente ocupada;;;;;;;1990-01-15;Decreto n° 98828, de 15 de janeiro de 1990;1990-03-22;Matr. 2.969  Lv. 2-M  Fl. 83
23201;Koatinemo;Altamira, Senador Jose Porfirio;PA;387834,2501;Regularizada;Tradicionalmente ocupada;;;;;1993-06-18;PD 320 de 18/06/93;1996-01-05;Decreto de 05 de janeiro de 1996;1999-11-12;Matr. 23.078  Lv. 2-AAT  Fl. 230
62301;Krahó-Kanela;Lagoa da Confusão                       ;TO;7612,7653;Regularizada;Reserva Indígena;2003-06-26;Portaria nº 613, de 26 de julho de 2003;;;;;;;;
23301;Kraolandia;Itacajá Goiantins;TO;302533,3971;Regularizada;Tradicionalmente ocupada;;;;;;;1990-03-07;Decreto nº 99062, de 07 de março de 1990;1992-03-19;Matr. 2.150  Lv. 2-E  Fl. 100V
23401;Krenak;Resplendor                              ;MG;4039,8241;Regularizada;Tradicionalmente ocupada;2010-04-29;Portaria nº 607, de 29 de abril de 2010;;;;;2001-04-19;Decreto de 19 de abril de 2001;2001-05-28;Matr. 10.399  Lv. 2-O  Fl. 129
23402;Krenak dos Sete Salões;Conselheiro Pena, Itueta, Resplendor e Santa Maria do Itueto                            ;MG;0;Em Estudo;Tradicionalmente ocupada;2007-10-16;Portaria n° 990, de 16 de outubro de 2007;;;;;;;;
65801;Krenrehé;Luciára , Canabravo do Norte;MT;6400;Regularizada;Reserva Indígena;;;;;;;;;;
73718;Krenyê;Barra do Corda e Vitorino Freire;MA;0;Encaminhada RI;Reserva Indígena;2014-03-11;Portaria nº 205, de 11 de março de 2014;;;;;;;;
23501;Krikati;Amarante do Maranhão, Lajeado Novo, Montes Altos, Sitio Novo;MA;144775,7868;Regularizada;Tradicionalmente ocupada;;;;;1992-07-07;Portaria Declaratoria nº 328 de 07/07/92;2004-10-27;Decreto de 27 de outubro de 2004;2005-11-29;Matr. 94, Lv. 2-A/01, Fl. 95 (Gleba II)
23601;Krukutu;São Paulo;SP;25,88;Regularizada;Tradicionalmente ocupada;;;;;;;1987-07-14;Decreto n° 94222, de 14 de julho de 1987;1987-09-23;Matr. 204.608  Lv. 2/RG  Fl. 01
23701;Kulina do Medio Jurua;Eirunepé, Tarauacá, Ipixuna, Envira;AC/AM;730142,9969;Regularizada;Tradicionalmente ocupada;;;;;1992-06-01;PD 279 de 01/06/92;1998-12-11;Decreto de 11 de dezembro de 1998;2000-05-08;Matr. 175  Lv. 2-A  Fl. 175
23801;Kulina do Rio Envira;Feijó                                   ;AC;84364,6082;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto nº 280, de 29 de outubro de 1991;1988-08-04;Matr. 405  Lv. 2-C  Fl. 60
23901;Kulina Igarapé do Pau;Feijó                                   ;AC;45590,937;Regularizada;Tradicionalmente ocupada;;;;;1993-08-17;PD  308;2001-04-18;Decreto de 18 de abril de 2001;2001-06-06;Matr. 664  Lv. 2-D  Fl. 87
24001;Kumaru do Lago Ualá;Jaruá                                   ;AM;80035,8819;Regularizada;Tradicionalmente ocupada;1994-08-18;Portaria nº 745, de 18 de agosto de 1994;2000-09-01;Despacho nº 46 de 1º de setembro de 2000;2001-04-20;Portaria nº 358, de 20 de abril de 2001;2004-10-27;Decreto de 27 de outubro de 2004;2004-12-03;Matr.183, Lv. 2-B, Fl. 183
Matr. R-1-183, Lv. 2-B, Fl. 83/84v
38902;Kuruáya;Altamira                                ;PA;166784,2496;Regularizada;Tradicionalmente ocupada;1999-10-15;Portaria nº 974, de 15 de outubro de 1999;2001-12-27;Despacho nº 123, de 27 de dezembro de 2001;2002-12-30;Portaria nº 3008, de 30 de dezembro de 2002;2006-04-18;Decreto de 18 de abril de 2006;2006-08-29;Matr. 25.206, Lv. 2-AAAB, Fls. 125
24101;Kwazá do Rio São Pedro;Parecis                                 ;RO;16799,8763;Regularizada;Tradicionalmente ocupada;;;;;2000-07-26;PD 617 de 26.07.00;2003-02-10;Decreto de 10 de fevereiro de 2003;2003-06-04;Matr. 1.222, Livro 2-RG, Ficha 01
24801;Lagoa Comprida;Itaipava do Grajaú, Jenipapo dos Vieiras;MA;13198,2651;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1991-11-26;Matr. 13.092  Lv. 2-AV  Fl. 09
25001;Lagoa dos Brincos;Comodoro                                ;MT;1845,058;Regularizada;Tradicionalmente ocupada;;;;;1992-06-19;PD 296 de 19/06/92;1996-01-05;Decreto de 05 de janeiro de 1996;1996-01-18;Matr. 10.833  Lv. 2/RG  Fl. 01
24901;Lagoa  Encantada;Aquiraz                                 ;CE;1731;Declarada;Tradicionalmente ocupada;2002-04-16;Portaria nº 310, de 16 de abril de 2002;2004-08-17;Despacho n° 82, de 17 de agosto de 2004;2011-02-23;Portaria nº 184, de 23 de fevereiro de 2011;;;;
24201;Lago Aiapua;Anori, Beruri;AM;24866,0856;Regularizada;Tradicionalmente ocupada;;;;;;;1993-08-12;Decreto de 12 de agosto de 1993;1994-12-09;Matr. 75  Lv. 2-RG  Fl. 40V
24301;Lago Capanã;Manicoré                                ;AM;6321,5954;Regularizada;Tradicionalmente ocupada;1996-05-31;Portaria nº 388, de 31 de maio de 1996;;;1998-12-11;PD 816 de 11.12.98;2001-12-11;Decreto de 11 de dezembro de 2001;2003-11-10;Matr. 326, Lv.2-B/RG, Fl. 26
51401;Lago do Barrigudo;Beruri                                  ;AM;0;Em Estudo;Tradicionalmente ocupada;2004-06-21;Portaria nº 763, de 21 de junho de 2004;;;;;;;;
24401;Lago do Beruri;Beruri                                  ;AM;4080,369;Regularizada;Tradicionalmente ocupada;;;;;;;1995-07-03;Decreto de 03 de  julho de 1995;1995-09-22;Matr. 79  Lv. 2/RG  Fl. 41v
52701;Lago do Correio;Santo Antônio do Içá                    ;AM;13209,7815;Regularizada;Tradicionalmente ocupada;2003-02-28;Portaria nº 130, de 28 de fevereiro de 2003;2006-07-20;Despacho n° 72, de 20 de julho de 2006;2007-08-14;Portaria n° 1394, de 14 de agosto de 2007;2009-12-21;Decreto de 21 de dezembro de 2009;2011-08-26;Matr. 1.166, Lv. 2-G, Fl. 66
24501;Lago do Limão;Borba                                   ;AM;8199;Delimitada;Tradicionalmente ocupada;2011-05-09;Portaria nº 712, de 9 de maio de 2011;2013-04-22;Despacho nº 531, de 22 de abril de 2013;;;;;;
27401;Lago do Marinheiro;Careiro                                 ;AM;3586,2907;Regularizada;Tradicionalmente ocupada;1997-01-16;Portaria nº 53, de 16 de janeiro de 1997;2005-09-01;Despacho n° 75/PRES/05;2006-12-15;Portaria n° 2361, de 15 de dezembro de 2006;2012-06-05;Decreto de 5 de junho de 2012;2013-03-07;Matr. 5.548, Lv. 2-RG, Ficha 01 e verso
69301;Lago Grande;Santa Terezinha                         ;MT;0;Em Estudo;Tradicionalmente ocupada;;;;;;;;;;
24701;Lago Jauari;Manicoré                                ;AM;12023,0844;Regularizada;Tradicionalmente ocupada;1996-05-31;Portaria nº 388, de 31 de maio de 1996;1998-05-25;Despacho nº 35, de 26 de maio de 1998;1998-12-11;Portaria nº 824, de 11 de dezembro de 1998;2004-10-27;Decreto de 27 de outubro de 2004;2004-11-29;Matr. 1.614 Lv. 2-2, Fl. 284
73730;Laguna Piru;Eldorado;MS;0;Em Estudo;Tradicionalmente ocupada;;;;;;;;;;
25101;Lalima;Miranda                                 ;MS;3000,2101;Regularizada;Tradicionalmente ocupada;;;;;;;1996-05-23;Decreto de 23 de maio de 1996;1996-07-02;Matr. 6.849  Lv. 2-R  Fl. 137
25102;Lalima;Miranda                                 ;MS;0;Em Estudo;Tradicionalmente ocupada;2010-07-06;Portaria nº 985, de 6 de julho de 2010;;;;;;;;
73703;Lami;Porto Alegre                            ;RS;0;Em Estudo;Tradicionalmente ocupada;2012-11-14;Portaria nº 1426, de 14 de novembro de 2012;;;;;;;;
73731;Laranjeira Nhanderu;Rio Brilhante;MS;0;Em Estudo;Tradicionalmente ocupada;;;;;;;;;;
25301;Laranjinha;Abatiá, Santa Amelia;PR;284,2412;Regularizada;Tradicionalmente ocupada;;;;;;;1996-10-02;Decreto de 2 de outubro de 1996;1997-04-01;Matr. 8.610  Lv. -  Fl. 001
56801;Las Casas;Pau D`Arco, Floresta do Araguaia, Redenção;PA;21344,7011;Regularizada;Tradicionalmente ocupada;2001-12-06;Portaria nº 0992, de 06 de dezembro de 2001;2003-08-22;Despacho nº 74, de 22 de agosto de 2003;2006-11-23;Portaria nº 1991 de 23 de novembro de 2006;2009-12-21;Decreto de 21 de dezembro de 2009;2011-03-01;Matr. 16.216, Lv. 2-V, Fl. 162
25401;Lauro Sodré;Benjamin Constant                       ;AM;9478,6216;Regularizada;Tradicionalmente ocupada;2000-01-18;Portaria nº 22, de 18 de janeiro de 2000;2001-07-24;Despacho nº 73, de 24 de julho de 2001;2002-03-01;Portaria nº 172, de 01 de março  de 2002;2004-10-27;Decreto de 27 de outubro de 2004;2005-05-11;Matr. 764, Lv. 2/3-B, Fl. 92
25501;Ligeiro;Charrua                                 ;RS;4565,7973;Regularizada;Tradicionalmente ocupada;;;;;;;1991-03-27;Decreto de 27 de março de 1991;1991-05-16;Matr. 8.413  Lv. 2-RG  Fl. 01V
25701;Limão Verde;Aquidauana                              ;MS;5377,2754;Regularizada;Tradicionalmente ocupada;1996-12-13;Portaria n° 1180, de 13 de dezembro de 1996;;;1998-07-23;PD 526 de 23/07/98;2003-02-10;Decreto de 10 de fevereiro de2003;2003-04-22;Matr.13.561, Lv. 2-RG, Ficha 01v/03
73705;Lomba do Pinheiro;Porto Alegre                            ;RS;0;Em Estudo;Tradicionalmente ocupada;2012-11-14;Portaria nº 1426, de 14 de novembro de 2012;;;;;;;;
25901;Macarrão;Jutaí                                   ;AM;44267,9081;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto n° 260, de 29 de outubro de 1991;1991-11-25;Matr. 62  Lv. 2  Fl. 62
26001;Mãe Maria;Bom Jesus do Tocantins                  ;PA;62488,4516;Regularizada;Tradicionalmente ocupada;;;;;;;1986-08-20;Decreto nº 93148, de 20 de agosto de 1986;1985-07-17;Matr. 6.587  Lv. 2-Z  Fl. 001
26101;Malacacheta;Cantá                                   ;RR;28631,8258;Regularizada;Tradicionalmente ocupada;;;;;;;1996-01-05;Decreto de 05 de janeiro de 1996;1998-01-19;Matr. 17.305  Lv. 2/RG  Fl. 01/02
26201;Mamoadate;Sena Madureira, Asss Brasil;AC;313646,8663;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto nº 254, de 29 de outubro de 1991;1987-10-08;Matr. 946  Lv. 2-C  Fl. 167
62701;Manchineri do Seringal Guanabara;Sena Madureira, Assis Brasil;AC;0;Em Estudo;Tradicionalmente ocupada;2003-11-14;Portaria nº 1073, de 14 de novembro de 2003;;;;;;;;
26301;Mangueira;Alto Alegre                             ;RR;4063,741;Regularizada;Tradicionalmente ocupada;;;;;;;1982-02-16;Decreto nº 86.923, de 16 de fevereiro de 1982;1988-11-22;Matr. 9.339  Lv. 2/RG  Fl. 01
26401;Mangueirinha;Chopinzinho, Coronel Vivida, Mangueirinha;PR;16375,76;Regularizada;Tradicionalmente ocupada;;;;;;;;;2014-03-06;Matrícula nº 8.040
